bound,n_syms,n_dfas,time
10,2,1,0.003086090087890625
10,2,2,0.04433035850524902
10,2,3,0.10003924369812012
10,2,4,0.010588884353637695
10,2,5,0.01277613639831543
10,2,6,0.01786327362060547
10,2,7,0.02485179901123047
10,2,8,0.03570890426635742
10,2,9,0.047821998596191406
10,2,10,0.05484485626220703
10,3,1,0.007245063781738281
10,3,2,0.10664224624633789
10,3,3,0.10766005516052246
10,3,4,0.022928953170776367
10,3,5,0.026781797409057617
10,3,6,0.0391848087310791
10,3,7,0.05760002136230469
10,3,8,0.0769801139831543
10,3,9,0.10448002815246582
10,3,10,0.14273571968078613
10,4,1,0.006479978561401367
10,4,2,0.15703582763671875
10,4,3,0.18221592903137207
10,4,4,0.030923128128051758
10,4,5,0.051976919174194336
10,4,6,0.07720613479614258
10,4,7,0.12251996994018555
10,4,8,0.17089080810546875
10,4,9,0.2381758689880371
10,4,10,0.32726502418518066
20,2,1,0.0025267601013183594
20,2,2,0.07403373718261719
20,2,3,0.44405078887939453
20,2,4,0.5752441883087158
20,2,5,0.02875518798828125
20,2,6,0.03651785850524902
20,2,7,0.04674100875854492
20,2,8,0.06393289566040039
20,2,9,0.07701516151428223
20,2,10,0.08502507209777832
20,3,1,0.026813983917236328
20,3,2,0.4002571105957031
20,3,3,0.5065200328826904
20,3,4,0.036190032958984375
20,3,5,0.0506899356842041
20,3,6,0.06793880462646484
20,3,7,0.08590483665466309
20,3,8,0.11705279350280762
20,3,9,0.1471102237701416
20,3,10,0.18861079216003418
20,4,1,0.022574186325073242
20,4,2,0.5578939914703369
20,4,3,0.6623108386993408
20,4,4,0.053913116455078125
20,4,5,0.07768702507019043
20,4,6,0.11590790748596191
20,4,7,0.1711430549621582
20,4,8,0.23029112815856934
20,4,9,0.3007011413574219
20,4,10,0.40073394775390625
30,2,1,0.0026769638061523438
30,2,2,0.1905357837677002
30,2,3,1.0061328411102295
30,2,4,1.835026741027832
30,2,5,0.06159615516662598
30,2,6,0.07181906700134277
30,2,7,0.08408713340759277
30,2,8,0.09412026405334473
30,2,9,0.10935497283935547
30,2,10,0.13145089149475098
30,3,1,0.05212593078613281
30,3,2,0.4769139289855957
30,3,3,1.2980248928070068
30,3,4,0.07348179817199707
30,3,5,0.08377480506896973
30,3,6,0.10870075225830078
30,3,7,0.14231085777282715
30,3,8,0.1719212532043457
30,3,9,0.2144181728363037
30,3,10,0.2730069160461426
30,4,1,0.057772159576416016
30,4,2,1.290757179260254
30,4,3,1.5177526473999023
30,4,4,0.09261178970336914
30,4,5,0.12677216529846191
30,4,6,0.17933893203735352
30,4,7,0.23206806182861328
30,4,8,0.2963218688964844
30,4,9,0.3763148784637451
30,4,10,0.4807870388031006
40,2,1,0.002750873565673828
40,2,2,0.3532130718231201
40,2,3,1.8922739028930664
40,2,4,3.2092087268829346
40,2,5,0.11314201354980469
40,2,6,0.12559795379638672
40,2,7,0.13475775718688965
40,2,8,0.15106606483459473
40,2,9,0.1946728229522705
40,2,10,0.189284086227417
40,3,1,0.05852508544921875
40,3,2,0.6185879707336426
40,3,3,2.886924982070923
40,3,4,0.12606310844421387
40,3,5,0.14460229873657227
40,3,6,0.17563414573669434
40,3,7,0.2030191421508789
40,3,8,0.24939584732055664
40,3,9,0.30317068099975586
40,3,10,0.3606278896331787
40,4,1,0.13002800941467285
40,4,2,2.81412410736084
40,4,3,3.390199899673462
40,4,4,0.15387797355651855
40,4,5,0.1954190731048584
40,4,6,0.2470259666442871
40,4,7,0.3208198547363281
40,4,8,0.40215229988098145
40,4,9,0.4974708557128906
40,4,10,0.6017410755157471
50,2,1,0.002317190170288086
50,2,2,0.5403158664703369
50,2,3,3.2456109523773193
50,2,4,5.411571025848389
50,2,5,0.20903491973876953
50,2,6,0.22253108024597168
50,2,7,0.22490811347961426
50,2,8,0.2452239990234375
50,2,9,0.2710728645324707
50,2,10,0.29349207878112793
50,3,1,0.0534818172454834
50,3,2,0.8134510517120361
50,3,3,5.275347948074341
50,3,4,5.81279993057251
50,3,5,0.2294788360595703
50,3,6,0.2551889419555664
50,3,7,0.29772329330444336
50,3,8,0.35421013832092285
50,3,9,0.40391993522644043
50,3,10,0.46053099632263184
50,4,1,0.23256707191467285
50,4,2,5.0266969203948975
50,4,3,5.502274990081787
50,4,4,0.2353827953338623
50,4,5,0.28702616691589355
50,4,6,0.3538548946380615
50,4,7,0.42079591751098633
50,4,8,0.5114691257476807
50,4,9,0.6258070468902588
50,4,10,0.7694869041442871
60,2,1,0.002216815948486328
60,2,2,0.7275137901306152
60,2,3,5.5539140701293945
60,2,4,8.097508192062378
60,2,5,0.3055269718170166
60,2,6,0.30852794647216797
60,2,7,0.32827067375183105
60,2,8,0.3414030075073242
60,2,9,0.3705451488494873
60,2,10,0.40073108673095703
60,3,1,0.05127692222595215
60,3,2,1.0010790824890137
60,3,3,9.340723276138306
60,3,4,10.155324935913086
60,3,5,0.33559584617614746
60,3,6,0.3866548538208008
60,3,7,0.40706586837768555
60,3,8,0.4778776168823242
60,3,9,0.5364363193511963
60,3,10,0.5994291305541992
60,4,1,0.34095001220703125
60,4,2,7.638879060745239
60,4,3,9.050096035003662
60,4,4,0.34954094886779785
60,4,5,0.40380120277404785
60,4,6,0.48245716094970703
60,4,7,0.5576767921447754
60,4,8,0.6590499877929688
60,4,9,0.792194128036499
60,4,10,0.9579410552978516
70,2,1,0.002649068832397461
70,2,2,1.0877659320831299
70,2,3,7.882511854171753
70,2,4,12.17067003250122
70,2,5,0.42740511894226074
70,2,6,0.44097208976745605
70,2,7,0.4531431198120117
70,2,8,0.48888683319091797
70,2,9,0.501274824142456
70,2,10,0.5709021091461182
70,3,1,0.05192708969116211
70,3,2,1.0804150104522705
70,3,3,13.658674955368042
70,3,4,15.00170087814331
70,3,5,0.46465206146240234
70,3,6,0.5102229118347168
70,3,7,0.5749130249023438
70,3,8,0.6365759372711182
70,3,9,0.706575870513916
70,3,10,0.7999160289764404
70,4,1,0.5706191062927246
70,4,2,12.155550003051758
70,4,3,13.561645746231079
70,4,4,0.4963490962982178
70,4,5,0.6115012168884277
70,4,6,0.6492249965667725
70,4,7,0.7341809272766113
70,4,8,0.8536598682403564
70,4,9,0.9645030498504639
70,4,10,1.1366610527038574
80,2,1,0.0031359195709228516
80,2,2,1.0932068824768066
80,2,3,11.185647010803223
80,2,4,13.859575986862183
80,2,5,0.5990190505981445
80,2,6,0.619783878326416
80,2,7,0.6539950370788574
80,2,8,0.6503748893737793
80,2,9,0.7080798149108887
80,2,10,0.7165939807891846
80,3,1,0.05351901054382324
80,3,2,1.3147592544555664
80,3,3,21.404687881469727
80,3,4,23.428767919540405
80,3,5,0.6642990112304688
80,3,6,0.7021679878234863
80,3,7,0.7623109817504883
80,3,8,0.8257639408111572
80,3,9,0.8939080238342285
80,3,10,0.9985411167144775
80,4,1,0.808513879776001
80,4,2,12.759879112243652
80,4,3,19.52229118347168
80,4,4,0.6419167518615723
80,4,5,0.7321138381958008
80,4,6,0.8145637512207031
80,4,7,0.9455041885375977
80,4,8,1.065739631652832
80,4,9,1.213672161102295
80,4,10,1.4899239540100098
90,2,1,0.0025420188903808594
90,2,2,1.2815580368041992
90,2,3,15.207044839859009
90,2,4,18.76448893547058
90,2,5,0.8122291564941406
90,2,6,0.8373558521270752
90,2,7,0.8714439868927002
90,2,8,0.8950042724609375
90,2,9,0.9066238403320312
90,2,10,0.9838037490844727
90,3,1,0.05234718322753906
90,3,2,1.463235855102539
90,3,3,32.193135023117065
90,3,4,35.21778202056885
90,3,5,0.8490700721740723
90,3,6,0.9337160587310791
90,3,7,0.9952051639556885
90,3,8,1.0745489597320557
90,3,9,1.1581220626831055
90,3,10,1.2611300945281982
90,4,1,1.1512901782989502
90,4,2,13.278434991836548
90,4,3,26.853800058364868
