bound,n_syms,n_dfas,time
10,2,1,0.0030832290649414062
10,2,2,0.22277498245239258
10,2,3,0.379284143447876
10,2,4,0.1431589126586914
10,2,5,0.2215738296508789
10,2,6,0.31594014167785645
10,2,7,0.48878002166748047
10,2,8,0.732990026473999
10,2,9,1.159268856048584
10,2,10,1.9776649475097656
10,3,1,0.008950948715209961
10,3,2,0.26366686820983887
10,3,3,0.4436330795288086
10,3,4,0.22462916374206543
10,3,5,0.333986759185791
10,3,6,0.5134391784667969
10,3,7,0.7164957523345947
10,3,8,1.044701337814331
10,3,9,1.5753660202026367
10,3,10,2.6920619010925293
10,4,1,0.0298309326171875
10,4,2,0.386336088180542
10,4,3,0.7645950317382812
10,4,4,0.26898717880249023
10,4,5,0.4633338451385498
10,4,6,0.7258448600769043
10,4,7,1.1192691326141357
10,4,8,1.4902620315551758
10,4,9,2.2933599948883057
10,4,10,3.681549072265625
20,2,1,0.0032601356506347656
20,2,2,0.6685581207275391
20,2,3,2.5594120025634766
20,2,4,3.896444082260132
20,2,5,0.9808049201965332
20,2,6,1.3401751518249512
20,2,7,1.7693700790405273
20,2,8,2.5413990020751953
20,2,9,3.5855932235717773
20,2,10,5.0471789836883545
20,3,1,0.008394002914428711
20,3,2,1.4571728706359863
20,3,3,2.787146806716919
20,3,4,0.963676929473877
20,3,5,1.441835880279541
20,3,6,1.7344379425048828
20,3,7,2.517578125
20,3,8,3.201735019683838
20,3,9,4.315455913543701
20,3,10,6.571027994155884
20,4,1,0.20238590240478516
20,4,2,2.233361005783081
20,4,3,4.248928070068359
20,4,4,1.1486999988555908
20,4,5,1.747084140777588
20,4,6,2.453421115875244
20,4,7,3.167464256286621
20,4,8,4.518248796463013
20,4,9,5.842488050460815
20,4,10,8.346234321594238
30,2,1,0.0025827884674072266
30,2,2,0.49267101287841797
30,2,3,5.877882242202759
30,2,4,24.027890920639038
30,2,5,2.418107748031616
30,2,6,3.105308771133423
30,2,7,4.037251949310303
30,2,8,5.224843978881836
30,2,9,7.367480993270874
30,2,10,9.875524997711182
